ANGLE,X,Y
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,7
7,1,8
8,1,9
9,1,10
10,2,11
11,2,12
12,2,14
13,3,15
14,4,16
15,4,17
16,5,18
17,5,19
18,6,20
19,7,21
20,8,22
21,9,23
22,9,24
23,10,25
24,11,26
25,12,27
26,13,28
27,14,28
28,15,29
29,16,30
30,18,31
31,19,31
32,20,32
33,21,33
34,22,33
35,24,34
36,25,34
37,26,35
38,28,35
39,29,36
40,30,36
41,32,37
42,33,37
43,35,37
44,36,37
45,38,38
46,39,38
47,41,38
48,42,38
49,44,38
50,45,38
51,47,38
52,49,38
53,50,38
54,52,38
55,54,37
56,55,37
57,57,37
58,59,36
59,60,36
60,62,35
61,64,35
62,65,34
63,67,34
64,69,33
65,70,32
66,72,32
67,74,31
68,75,30
69,77,29
70,78,28
71,80,27
72,82,26
73,83,25
74,85,24
75,86,23
76,88,22
77,90,20
78,91,19
79,93,18
80,94,16
81,96,15
82,97,13
83,98,12
84,100,10
85,101,8
86,102,7
87,104,5
88,105,3
89,106,1
90,107,-0
91,109,-1
92,110,-3
93,111,-5
94,112,-7
95,113,-9
96,114,-12
97,115,-14
98,116,-16
99,117,-18
100,118,-20
101,118,-23
102,119,-25
103,120,-27
104,121,-30
105,121,-32
106,122,-35
107,122,-37
108,123,-40
109,123,-42
110,124,-45
111,124,-47
112,124,-50
113,124,-52
114,124,-55
115,125,-58
116,125,-61
117,125,-63
118,125,-66
119,124,-69
120,124,-71
121,124,-74
122,124,-77
123,123,-80
124,123,-83
125,122,-86
126,122,-88
127,121,-91
128,121,-94
129,120,-97
130,119,-100
131,118,-103
132,117,-105
133,116,-108
134,115,-111
135,114,-114
136,113,-117
137,112,-120
138,110,-123
139,109,-125
140,107,-128
141,106,-131
142,104,-134
143,103,-137
144,101,-139
145,99,-142
146,97,-145
147,96,-147
148,94,-150
149,92,-153
150,89,-155
151,87,-158
152,85,-161
153,83,-163
154,81,-166
155,78,-168
156,76,-171
157,73,-173
158,71,-175
159,68,-178
160,65,-180
161,62,-182
162,60,-184
163,57,-187
164,54,-189
165,51,-191
166,48,-193
167,45,-195
168,41,-197
169,38,-199
170,35,-200
171,32,-202
172,28,-204
173,25,-206
174,21,-207
175,18,-209
176,14,-210
177,11,-212
178,7,-213
179,3,-214
180,0,-215
181,-3,-217
182,-7,-218
183,-11,-219
184,-15,-220
185,-19,-221
186,-23,-221
187,-27,-222
188,-31,-223
189,-35,-224
190,-39,-224
191,-43,-224
192,-47,-225
193,-52,-225
194,-56,-225
195,-60,-226
196,-64,-226
197,-69,-226
198,-73,-225
199,-77,-225
200,-82,-225
201,-86,-225
202,-90,-224
203,-95,-224
204,-99,-223
205,-103,-222
206,-108,-222
207,-112,-221
208,-117,-220
209,-121,-219
210,-125,-218
211,-130,-217
212,-134,-215
213,-139,-214
214,-143,-212
215,-147,-211
216,-152,-209
217,-156,-207
218,-161,-206
219,-165,-204
220,-169,-202
221,-173,-200
222,-178,-197
223,-182,-195
224,-186,-193
225,-190,-190
226,-195,-188
227,-199,-185
228,-203,-183
229,-207,-180
230,-211,-177
231,-215,-174
232,-219,-171
233,-223,-168
234,-227,-165
235,-231,-161
236,-234,-158
237,-238,-154
238,-242,-151
239,-245,-147
240,-249,-143
241,-252,-140
242,-256,-136
243,-259,-132
244,-263,-128
245,-266,-124
246,-269,-120
247,-272,-115
248,-275,-111
249,-278,-107
250,-281,-102
251,-284,-98
252,-287,-93
253,-290,-88
254,-292,-84
255,-295,-79
256,-298,-74
257,-300,-69
258,-302,-64
259,-305,-59
260,-307,-54
261,-309,-48
262,-311,-43
263,-313,-38
264,-315,-33
